OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
9452;8,20031E+18;8;4;17;31;2020;3;9;7;3;8;1;0;0;1;0;0;0;0;497936,5783;5354689,761;8,972152138;48,34538405;0
9453;8,20031E+18;8;4;17;79;2020;3;8;7;3;2;6;0;0;1;0;0;0;1;493447,236;5341288,448;8,911772088;48,22478546;2
9454;8,20031E+18;8;4;17;57;2020;3;18;7;3;5;3;1;0;1;0;0;0;0;481431,3099;5338602,24;8,75010561;48,20038031;0
9455;8,20031E+18;8;4;15;93;2020;3;7;7;3;4;1;1;0;1;0;0;0;0;525448,91;5366846,414;9,344191349;48,45424077;2
9456;8,20031E+18;8;3;26;74;2020;3;4;7;3;9;1;2;0;1;0;0;0;0;452248,7912;5319569,307;8,359521361;48,02762717;2
9457;8,20031E+18;8;4;26;134;2020;3;15;6;2;2;6;0;0;1;0;0;0;0;561330,62;5334342,622;9,824722199;48,15936983;0
9458;8,20031E+18;8;3;17;31;2020;3;15;7;3;5;3;0;0;1;0;0;0;0;413678,2465;5359991,356;7,834041959;48,3871756;0
9459;8,20031E+18;8;3;16;17;2020;3;18;7;3;5;3;1;0;1;0;1;0;0;409319,5902;5339450,17;7,779594364;48,20180272;0
9460;8,20031E+18;8;3;15;74;2020;3;2;7;1;9;1;2;0;1;0;0;0;0;396936,2974;5299189,011;7,622665046;47,83778258;1
9461;8,20032E+18;8;1;36;71;2020;3;20;2;3;9;1;2;0;0;0;0;0;1;598474,8794;5425293,034;10,34562396;48,97269659;0
9462;8,20031E+18;8;4;25;75;2020;3;7;6;3;8;1;0;0;1;0;0;0;0;566570,9293;5376873,515;9,901907501;48,54143056;1
9463;8,20031E+18;8;2;35;46;2020;3;17;7;3;8;1;0;0;1;0;0;0;0;481261,4199;5374379,533;8,746225497;48,52224684;0
9464;8,20031E+18;8;2;26;107;2020;3;19;7;3;5;7;2;0;1;0;0;0;0;475126,1205;5482570,91;8,656506935;49,49526323;0
9465;8,20031E+18;8;2;26;107;2020;3;22;7;3;4;6;2;0;1;0;0;0;0;474270,6187;5482987,977;8,644666054;49,49897893;0
9466;8,20032E+18;8;2;15;101;2020;3;9;2;3;4;6;0;0;1;0;0;0;0;465587,7007;5427700,082;8,529504813;49,00123837;0
9467;8,20031E+18;8;4;17;2;2020;3;12;6;2;0;1;0;1;0;0;0;0;0;489050,9236;5345585,941;8,85246815;48,26338837;0
9468;8,20031E+18;8;2;25;33;2020;3;8;7;3;4;6;0;0;1;0;0;0;0;511220,2548;5460634,951;9,154326543;49,29835629;0
9469;8,20031E+18;8;2;22;0;2020;3;1;7;2;0;1;2;0;1;0;0;0;0;459920,7799;5489604,238;8,445824242;49,55770962;0
9470;8,20031E+18;8;2;22;0;2020;3;17;7;3;2;6;0;0;1;0;0;0;0;464662,73;5481916,897;8,512077086;49,48886145;0
9471;8,20031E+18;8;2;22;0;2020;3;11;7;2;8;7;0;0;1;0;0;0;0;466890,5133;5478707,933;8,54310493;49,4601238;0
9472;8,20031E+18;8;2;21;0;2020;3;11;7;3;1;6;0;0;1;0;0;0;0;475900,1271;5468452,718;8,668053325;49,36830431;1
9473;8,20031E+18;8;2;22;0;2020;3;9;7;1;6;4;0;0;0;1;0;0;1;465761,4764;5475678,308;8,527787104;49,4328109;0
9474;8,20031E+18;8;2;16;17;2020;3;1;7;3;8;1;2;0;1;0;0;0;1;452646,3335;5398495,229;8,355957343;48,73767629;1
9475;8,20031E+18;8;4;16;36;2020;3;12;6;2;4;1;0;0;1;0;0;1;0;484434,5323;5371446,058;8,789307701;48,49594306;0
9476;8,20031E+18;8;2;15;9;2020;3;17;7;2;8;1;1;0;1;0;0;0;0;471231,657;5434558,087;8,606181935;49,0632174;1
9477;8,20031E+18;8;1;19;85;2020;3;18;7;3;9;1;1;0;0;0;1;0;0;528301,2018;5413262,466;9,385942127;48,87167508;0
9478;8,20032E+18;8;1;21;0;2020;3;14;2;3;1;6;0;0;1;0;0;0;0;515280,7638;5446321,869;9,209630059;49,16951932;0
9479;8,20031E+18;8;3;37;128;2020;3;22;6;2;9;1;2;0;1;0;0;0;0;449992,7491;5284252,985;8,333350822;47,70972129;0
9480;8,20031E+18;8;1;19;61;2020;3;17;7;2;4;6;0;0;1;0;0;0;0;536762,1171;5415122,699;9,501486397;48,88796484;1
9481;8,20031E+18;8;1;18;76;2020;3;16;7;3;6;4;0;0;0;1;0;0;1;501362,1521;5427461,626;9,018623277;49,00005108;0
9482;8,20031E+18;8;1;18;60;2020;3;9;7;3;5;3;0;0;1;0;0;0;0;523281,7712;5429934,111;9,318446491;49,02185466;0
9483;8,20031E+18;8;1;18;79;2020;3;13;7;3;5;3;0;0;1;0;0;0;0;508979,5;5423276,714;9,122674713;48,96234137;0
9484;8,20031E+18;8;1;17;38;2020;3;4;7;3;8;7;2;0;1;0;0;0;0;547105,704;5398743,316;9,640698778;48,73992674;1
9485;8,20031E+18;8;1;17;19;2020;3;12;7;3;5;3;0;0;1;0;0;0;0;551930,9256;5393710,162;9,705689515;48,69426806;0
9486;8,20031E+18;8;1;16;41;2020;3;16;7;3;2;6;0;0;1;0;0;0;0;518790,2357;5383547,417;9,254888145;48,60472152;0
9487;8,20031E+18;8;1;16;11;2020;3;1;7;3;8;1;2;0;1;0;0;0;0;529650,9845;5379857,639;9,401946971;48,57110784;1
9488;8,20031E+18;8;1;15;44;2020;3;12;7;3;2;6;0;0;1;0;0;0;1;503810,4081;5388874,799;9,051737127;48,65291816;1
9489;8,20031E+18;8;1;11;0;2020;3;21;7;3;2;6;2;0;1;0;0;0;0;515354,8312;5405294,732;9,209096325;48,80045459;0
9490;8,20031E+18;8;4;37;76;2020;3;6;6;3;4;6;0;0;1;0;0;1;0;521167,6389;5319391,178;9,283916432;48,02745901;1
9491;8,20031E+18;8;3;36;87;2020;3;15;6;3;8;1;0;0;1;0;0;0;0;422199,055;5293490,487;7,961230752;47,79007247;0
9492;8,20032E+18;8;1;28;128;2020;3;16;1;3;0;1;0;0;0;0;1;0;0;546077,0267;5502213,414;9,63858249;49,67069095;0
9493;8,20031E+18;8;4;36;94;2020;3;16;6;2;8;1;0;0;1;0;0;0;0;571416,9366;5282403,871;9,951725372;47,69107305;0
9494;8,20031E+18;8;4;36;55;2020;3;19;6;3;5;3;2;1;1;0;0;0;0;576221,4562;5297650,218;10,01841536;47,82768257;1
9495;8,20032E+18;8;1;11;0;2020;3;11;2;3;2;7;0;0;0;0;0;1;1;506730,0373;5395691,648;9,091490363;48,7142186;0
9496;8,20031E+18;8;4;35;59;2020;3;8;6;3;5;3;0;0;1;0;0;0;0;517794,7341;5293428,462;9,237605241;47,79396885;1
9497;8,20032E+18;8;3;17;96;2020;3;17;1;3;5;3;0;1;1;0;0;0;0;420788,3595;5374987,044;7,927222625;48,52299335;0
9498;8,20031E+18;8;4;35;34;2020;3;10;6;3;6;4;0;0;0;1;0;1;0;528878,006;5285457,661;9,385062968;47,72185093;0
